Anks1b-Bait	Syngap1-Bait	Shank2-Bait	Shank3-Bait	Nckap1-Bait	Nbea-Bait	Ctnnb1-Bait	Lrrc4c-Bait	Iqsec2-Bait	Arhgef9-Bait	Ank3-Bait	Scn2a-Bait	Scn8a-Bait	Hnrnpu-Bait
Cpeb2	Uaca			Api5	Hnrnpa1	Rnf135	Sh3pxd2b	P33monox		Smg6	Sncg	Nf2	
Ensa	Synpo			Fat3	Ppip5k1	Nck1	Stx1b	Pik3r1		Plekha6	Scn8a	Septin11	
Sh3rf3	Arhgap33			Prrc2c	Hnrnpl	Ncor1	Caskin1	Igsf9b		Epn1	Slc9a1	Fbxo42	
Tcf20	Exph5			Ctnnd2	Map3k10	Ykt6	Homer2	Cdv3		Reps1	Astn1	Got1	
Vps41	Pik3r2			Gabbr2	Bcas3	Dab2ip	Cyld	Rapgef2		Caskin1	Spata2	Sec22b	
Erbin	Crkl			Cpeb2	Akap8l	Pard3	Elmo1	Numb		Pym1	Mb21d2	Lzts3	
Smg9	Map4k3			Pdlim5	Lrba	Adgrb2	Agap1	Pgam5		Stmn1	Plxna4	Gpm6a	
Cttn	Jcad			Gprin1	Rap1gap	Rgs12	Gabbr1	Arhgap32		Scn3a	Arhgap21	Slc4a8	
Dcp1b	Vps18			Mia3	Ezr	Adgrb3	Cyth1	Plekha7		Znf365	Lig3	Snap29	
Cyth1	Elob			Ptcd1	Cadps	Pak2	Hcn1	Camk2d		Robo2	Elfn2	Nefl	
Flrt3	Amot			Sorbs1	Tnrc6b	Snta1	Insyn1	Cpeb2		Apc	Cc2d1a	Camsap1	
Amot	Cpeb3			Slc4a10	Gda	Cdkl5	Sntb2	Cyth1		Iqsec3	Slc4a3	Rtn4	
Wwc2	Brinp1			Golga3	Relch	Tenm3	Fam131b	Arhgap33		Ubap2l	Septin4	Nacad	
Aldh1a2	Plxna1			Grm5	Tdrp	Tnik	Tnik	Csnk1e		Ank2	Septin8	Slc9a1	
Tbr1	Pik3r1			Got1	Abhd3	Smg7	Anks1a	Erbb4		Ube2o	Csnk2b	Sgip1	
Fnbp1l	Sh3gl2			Arap1	Cct8	Eif4enif1	Arhgap32	Kcnj10		Strip1	Cyc1	Kctd16	
